
TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
11:15 AM,37.4,33.8,87,29.88,10.0,NNE,13.8,19.6,N/A,,Overcast,20,2015-02-10 16:15:00<br />
11:51 AM,37.9,33.1,83,29.90,10.0,NNE,12.7,23.0,N/A,,Overcast,20,2015-02-10 16:51:00<br />
12:51 PM,37.0,32.0,82,29.88,10.0,NNE,12.7,23.0,N/A,,Overcast,20,2015-02-10 17:51:00<br />
1:51 PM,37.0,30.9,79,29.88,10.0,NNE,16.1,25.3,N/A,,Overcast,20,2015-02-10 18:51:00<br />
2:43 PM,39.2,32.0,75,29.88,10.0,North,11.5,17.3,N/A,,Overcast,10,2015-02-10 19:43:00<br />
2:51 PM,39.0,32.0,76,29.88,10.0,Variable,6.9,20.7,N/A,,Overcast,0,2015-02-10 19:51:00<br />
3:51 PM,43.0,33.1,68,29.88,10.0,NNE,11.5,21.9,N/A,,Overcast,20,2015-02-10 20:51:00<br />
4:24 PM,42.8,33.8,70,29.89,10.0,NNE,10.4,20.7,N/A,,Overcast,20,2015-02-10 21:24:00<br />
4:51 PM,43.0,33.1,68,29.90,10.0,NNE,11.5,-,N/A,,Overcast,20,2015-02-10 21:51:00<br />
5:51 PM,43.0,32.0,65,29.92,10.0,NNE,10.4,17.3,N/A,,Mostly Cloudy,30,2015-02-10 22:51:00<br />
6:51 PM,42.1,33.1,70,29.95,10.0,NNE,8.1,-,N/A,,Mostly Cloudy,30,2015-02-10 23:51:00<br />
7:51 PM,41.0,30.9,67,29.96,10.0,NNE,11.5,18.4,N/A,,Mostly Cloudy,30,2015-02-11 00:51:00<br />
8:51 PM,39.0,30.0,70,29.97,10.0,NNE,6.9,16.1,N/A,,Partly Cloudy,20,2015-02-11 01:51:00<br />
9:51 PM,37.9,28.9,70,29.97,10.0,NNE,12.7,-,N/A,,Partly Cloudy,30,2015-02-11 02:51:00<br />
10:51 PM,37.0,28.0,70,29.98,10.0,NNE,8.1,20.7,N/A,,Partly Cloudy,20,2015-02-11 03:51:00<br />
11:51 PM,36.0,27.0,70,29.97,10.0,NNE,10.4,20.7,N/A,,Partly Cloudy,20,2015-02-11 04:51:00<br />

TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:51 AM,51.1,34.0,52,29.87,10.0,SSW,10.4,-,N/A,,Scattered Clouds,210,2015-02-09 05:51:00<br />
1:51 AM,51.1,34.0,52,29.86,10.0,SSW,8.1,-,N/A,,Mostly Cloudy,210,2015-02-09 06:51:00<br />
2:51 AM,51.1,35.1,54,29.85,10.0,SW,9.2,-,N/A,,Mostly Cloudy,220,2015-02-09 07:51:00<br />
3:51 AM,48.9,36.0,61,29.84,10.0,SW,6.9,-,N/A,,Mostly Cloudy,230,2015-02-09 08:51:00<br />
4:51 AM,50.0,36.0,59,29.84,10.0,SW,8.1,-,N/A,,Overcast,220,2015-02-09 09:51:00<br />
5:51 AM,51.1,37.0,59,29.84,10.0,SW,5.8,-,N/A,,Overcast,220,2015-02-09 10:51:00<br />
6:51 AM,50.0,37.0,61,29.84,10.0,SW,6.9,-,N/A,,Overcast,220,2015-02-09 11:51:00<br />
7:51 AM,50.0,37.9,63,29.85,10.0,SW,5.8,-,N/A,,Overcast,230,2015-02-09 12:51:00<br />
8:51 AM,54.0,39.9,59,29.85,10.0,SSW,8.1,-,N/A,,Overcast,210,2015-02-09 13:51:00<br />
9:51 AM,57.9,41.0,53,29.84,10.0,SW,9.2,-,N/A,,Overcast,230,2015-02-09 14:51:00<br />
10:51 AM,59.0,42.1,53,29.83,10.0,SW,8.1,-,N/A,,Overcast,220,2015-02-09 15:51:00<br />
11:51 AM,60.1,42.1,51,29.80,10.0,Variable,3.5,-,N/A,,Overcast,0,2015-02-09 16:51:00<br />
12:51 PM,61.0,43.0,52,29.77,10.0,Calm,Calm,-,N/A,,Overcast,0,2015-02-09 17:51:00<br />
1:51 PM,62.1,44.1,52,29.75,10.0,South,3.5,-,N/A,,Overcast,190,2015-02-09 18:51:00<br />
2:51 PM,62.1,45.0,53,29.73,10.0,SSW,5.8,-,N/A,,Overcast,210,2015-02-09 19:51:00<br />
3:17 PM,57.2,48.2,72,29.75,5.0,West,4.6,-,0.00,Rain-Thunderstorm,Light Thunderstorms and Rain,270,2015-02-09 20:17:00<br />
3:51 PM,55.0,51.1,86,29.74,4.0,WNW,4.6,-,0.13,Rain-Thunderstorm,Light Thunderstorms and Rain,300,2015-02-09 20:51:00<br />
4:10 PM,53.6,51.8,94,29.75,3.0,SW,5.8,-,0.05,Rain,Rain,230,2015-02-09 21:10:00<br />
4:33 PM,53.6,51.8,94,29.75,2.5,WSW,4.6,-,0.09,Rain,Rain,240,2015-02-09 21:33:00<br />
4:51 PM,54.0,52.0,93,29.73,2.5,Calm,Calm,-,0.13,Rain,Light Rain,0,2015-02-09 21:51:00<br />
5:07 PM,53.6,51.8,94,29.74,2.5,SW,3.5,-,0.01,,Overcast,230,2015-02-09 22:07:00<br />
5:26 PM,53.6,51.8,94,29.74,4.0,Calm,Calm,-,0.01,Rain,Light Rain,0,2015-02-09 22:26:00<br />
5:51 PM,54.0,51.1,90,29.73,4.0,Calm,Calm,-,0.01,Rain,Light Rain,0,2015-02-09 22:51:00<br />
6:51 PM,53.1,51.1,93,29.74,4.0,Calm,Calm,-,0.01,Rain,Light Rain,0,2015-02-09 23:51:00<br />
7:05 PM,53.6,50.0,88,29.75,4.0,Calm,Calm,-,0.00,Rain,Light Rain,0,2015-02-10 00:05:00<br />
7:24 PM,51.8,50.0,94,29.75,4.0,NE,3.5,-,0.00,Rain,Light Rain,40,2015-02-10 00:24:00<br />
7:51 PM,53.1,50.0,89,29.73,3.0,NNE,4.6,-,0.00,Rain,Light Rain,30,2015-02-10 00:51:00<br />
8:32 PM,53.6,50.0,88,29.74,3.0,Calm,Calm,-,0.01,Rain,Light Rain,0,2015-02-10 01:32:00<br />
8:51 PM,53.1,50.0,89,29.74,3.0,North,3.5,-,0.02,Rain,Light Rain,10,2015-02-10 01:51:00<br />
9:51 PM,52.0,48.9,89,29.74,4.0,NNE,6.9,-,0.04,Rain,Light Rain,30,2015-02-10 02:51:00<br />
10:11 PM,51.8,48.2,88,29.75,4.0,NNE,9.2,-,0.02,Rain,Light Rain,30,2015-02-10 03:11:00<br />
10:51 PM,50.0,46.0,86,29.73,5.0,NE,15.0,-,0.05,Rain,Light Rain,40,2015-02-10 03:51:00<br />
11:51 PM,45.0,41.0,86,29.73,8.0,NE,12.7,21.9,0.01,Rain,Light Rain,50,2015-02-10 04:51:00<br />

TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:51 AM,44.1,21.9,42,30.05,10.0,SW,9.2,-,N/A,,Partly Cloudy,220,2015-02-08 05:51:00<br />
1:51 AM,46.0,21.9,39,30.03,10.0,SW,10.4,-,N/A,,Partly Cloudy,220,2015-02-08 06:51:00<br />
2:51 AM,45.0,21.9,40,30.02,10.0,SW,10.4,-,N/A,,Partly Cloudy,220,2015-02-08 07:51:00<br />
3:51 AM,45.0,21.9,40,30.01,10.0,SSW,10.4,-,N/A,,Partly Cloudy,210,2015-02-08 08:51:00<br />
4:51 AM,42.1,21.9,45,30.01,10.0,SW,8.1,-,N/A,,Partly Cloudy,220,2015-02-08 09:51:00<br />
5:51 AM,39.0,21.9,50,30.02,10.0,SW,9.2,-,N/A,,Partly Cloudy,230,2015-02-08 10:51:00<br />
6:51 AM,42.1,21.9,45,30.03,10.0,SW,9.2,-,N/A,,Partly Cloudy,230,2015-02-08 11:51:00<br />
7:51 AM,44.1,23.0,43,30.04,10.0,SW,10.4,-,N/A,,Partly Cloudy,230,2015-02-08 12:51:00<br />
8:51 AM,51.1,24.1,35,30.02,10.0,SW,16.1,-,N/A,,Partly Cloudy,230,2015-02-08 13:51:00<br />
9:51 AM,55.0,26.1,33,30.01,10.0,SW,20.7,26.5,N/A,,Partly Cloudy,230,2015-02-08 14:51:00<br />
10:51 AM,59.0,28.9,32,30.00,10.0,WSW,20.7,-,N/A,,Partly Cloudy,240,2015-02-08 15:51:00<br />
11:51 AM,64.0,30.9,29,29.97,10.0,SW,25.3,29.9,N/A,,Partly Cloudy,230,2015-02-08 16:51:00<br />
12:51 PM,68.0,30.9,25,29.93,10.0,SW,19.6,23.0,N/A,,Partly Cloudy,220,2015-02-08 17:51:00<br />
1:51 PM,71.1,30.0,22,29.89,10.0,SW,21.9,29.9,N/A,,Partly Cloudy,230,2015-02-08 18:51:00<br />
2:51 PM,71.1,27.0,19,29.87,10.0,WSW,21.9,33.4,N/A,,Partly Cloudy,240,2015-02-08 19:51:00<br />
3:51 PM,71.1,26.1,19,29.86,10.0,SW,19.6,31.1,N/A,,Partly Cloudy,220,2015-02-08 20:51:00<br />
4:51 PM,68.0,28.0,22,29.86,10.0,SW,20.7,28.8,N/A,,Partly Cloudy,230,2015-02-08 21:51:00<br />
5:51 PM,64.0,28.9,27,29.86,10.0,SSW,12.7,-,N/A,,Clear,210,2015-02-08 22:51:00<br />
6:51 PM,62.1,30.0,30,29.87,10.0,SSW,13.8,20.7,N/A,,Clear,200,2015-02-08 23:51:00<br />
7:51 PM,60.1,32.0,35,29.87,10.0,SW,13.8,-,N/A,,Clear,220,2015-02-09 00:51:00<br />
8:51 PM,57.0,32.0,39,29.88,10.0,SW,10.4,-,N/A,,Partly Cloudy,220,2015-02-09 01:51:00<br />
9:51 PM,52.0,32.0,47,29.89,10.0,SW,8.1,-,N/A,,Clear,220,2015-02-09 02:51:00<br />
10:51 PM,50.0,33.1,52,29.89,10.0,SW,4.6,-,N/A,,Clear,220,2015-02-09 03:51:00<br />
11:51 PM,53.1,34.0,48,29.87,10.0,SW,9.2,-,N/A,,Partly Cloudy,220,2015-02-09 04:51:00<br />

TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:51 AM,28.9,12.0,49,30.28,10.0,SW,5.8,-,N/A,,Clear,230,2015-02-07 05:51:00<br />
1:51 AM,30.0,10.0,43,30.27,9.0,Calm,Calm,-,N/A,,Clear,0,2015-02-07 06:51:00<br />
2:51 AM,28.9,12.0,49,30.26,10.0,Calm,Calm,-,N/A,,Clear,0,2015-02-07 07:51:00<br />
3:51 AM,28.0,12.9,53,30.24,10.0,WSW,3.5,-,N/A,,Clear,240,2015-02-07 08:51:00<br />
4:51 AM,27.0,12.9,56,30.25,10.0,WSW,4.6,-,N/A,,Partly Cloudy,250,2015-02-07 09:51:00<br />
5:51 AM,28.0,12.9,53,30.24,10.0,SW,3.5,-,N/A,,Partly Cloudy,230,2015-02-07 10:51:00<br />
6:51 AM,30.0,12.9,49,30.24,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2015-02-07 11:51:00<br />
7:51 AM,30.0,15.1,54,30.26,10.0,SW,3.5,-,N/A,,Mostly Cloudy,230,2015-02-07 12:51:00<br />
8:51 AM,36.0,17.1,46,30.27,10.0,SW,8.1,-,N/A,,Mostly Cloudy,230,2015-02-07 13:51:00<br />
9:51 AM,42.1,17.1,37,30.26,10.0,SW,8.1,-,N/A,,Mostly Cloudy,220,2015-02-07 14:51:00<br />
10:51 AM,46.0,17.1,31,30.25,10.0,SW,8.1,-,N/A,,Mostly Cloudy,230,2015-02-07 15:51:00<br />
11:51 AM,50.0,18.0,28,30.21,10.0,SW,9.2,-,N/A,,Mostly Cloudy,220,2015-02-07 16:51:00<br />
12:51 PM,54.0,17.1,23,30.17,10.0,South,8.1,-,N/A,,Mostly Cloudy,190,2015-02-07 17:51:00<br />
1:51 PM,55.0,17.1,23,30.14,10.0,SW,13.8,-,N/A,,Mostly Cloudy,220,2015-02-07 18:51:00<br />
2:51 PM,59.0,18.0,20,30.09,10.0,SW,15.0,-,N/A,,Mostly Cloudy,230,2015-02-07 19:51:00<br />
3:51 PM,59.0,18.0,20,30.07,10.0,SW,19.6,-,N/A,,Mostly Cloudy,230,2015-02-07 20:51:00<br />
4:51 PM,57.9,19.0,22,30.08,10.0,SW,17.3,-,N/A,,Mostly Cloudy,230,2015-02-07 21:51:00<br />
5:51 PM,52.0,19.9,28,30.09,10.0,WSW,9.2,-,N/A,,Mostly Cloudy,240,2015-02-07 22:51:00<br />
6:51 PM,51.1,19.9,29,30.09,10.0,SSW,6.9,-,N/A,,Scattered Clouds,200,2015-02-07 23:51:00<br />
7:51 PM,50.0,21.0,32,30.10,10.0,SSW,9.2,-,N/A,,Scattered Clouds,200,2015-02-08 00:51:00<br />
8:51 PM,50.0,21.9,33,30.09,10.0,SW,12.7,-,N/A,,Scattered Clouds,220,2015-02-08 01:51:00<br />
9:51 PM,48.9,21.9,35,30.10,10.0,SW,12.7,-,N/A,,Partly Cloudy,230,2015-02-08 02:51:00<br />
10:51 PM,48.0,21.9,36,30.08,10.0,SW,9.2,-,N/A,,Partly Cloudy,220,2015-02-08 03:51:00<br />
11:51 PM,48.0,21.9,36,30.07,10.0,SW,11.5,-,N/A,,Partly Cloudy,220,2015-02-08 04:51:00<br />
