Device Id	Device Name	Probe Sensor in Fahrenheit	Probe Sensor Alert	Device Sensor in Fahrenheit	Device Sensor Alert	Device Sensor Humidity	Device Sensor Humidity Alert	Timestamp Record
00011ED95A401B5B	5 Outside Back West Door	n/a	No	55.4	No	51%	No	20/01/2015 11:45:10
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.9	No	46%	No	20/01/2015 11:41:30
000104203903E300	1 Downstairs Thermostat	n/a	No	72.5	No	40%	No	20/01/2015 11:34:13
00011ED95A401B5B	5 Outside Back West Door	n/a	No	52.7	No	55%	No	20/01/2015 11:15:07
00015EE21AD9638C	4 Basement - eguage	n/a	No	65	No	46%	No	20/01/2015 11:11:29
0001D994F4E97F51	2 Upstairs Thermostat	n/a	No	72.7	No	40%	No	20/01/2015 11:07:59
000104203903E300	1 Downstairs Thermostat	n/a	No	71.8	No	40%	No	20/01/2015 11:04:13
00011ED95A401B5B	5 Outside Back West Door	n/a	No	50.2	No	58%	No	20/01/2015 10:45:06
00015EE21AD9638C	4 Basement - eguage	n/a	No	65	No	46%	No	20/01/2015 10:41:29
000104203903E300	1 Downstairs Thermostat	n/a	No	71.6	No	41%	No	20/01/2015 10:34:11
00011ED95A401B5B	5 Outside Back West Door	n/a	No	46.6	No	63%	No	20/01/2015 10:15:08
00015EE21AD9638C	4 Basement - eguage	n/a	No	65	No	45%	No	20/01/2015 10:11:24
000104203903E300	1 Downstairs Thermostat	n/a	No	71.2	No	42%	No	20/01/2015 10:04:08
00011ED95A401B5B	5 Outside Back West Door	n/a	No	43.8	No	67%	No	20/01/2015 09:45:06
00015EE21AD9638C	4 Basement - eguage	n/a	No	65	No	45%	No	20/01/2015 09:41:22
000104203903E300	1 Downstairs Thermostat	n/a	No	70.4	No	42%	No	20/01/2015 09:34:07
00011ED95A401B5B	5 Outside Back West Door	n/a	No	40.3	No	74%	No	20/01/2015 09:15:04
00015EE21AD9638C	4 Basement - eguage	n/a	No	65	No	45%	No	20/01/2015 09:11:21
0001D994F4E97F51	2 Upstairs Thermostat	n/a	No	70.8	No	42%	No	20/01/2015 09:07:58
000104203903E300	1 Downstairs Thermostat	n/a	No	69.9	No	43%	No	20/01/2015 09:04:03
00011ED95A401B5B	5 Outside Back West Door	n/a	No	37.4	No	77%	No	20/01/2015 08:45:04
0001729202B0643B	3 Media Room	n/a	No	74.5	No	36%	No	20/01/2015 08:41:28
00015EE21AD9638C	4 Basement - eguage	n/a	No	65.3	No	45%	No	20/01/2015 08:41:20
0001D994F4E97F51	2 Upstairs Thermostat	n/a	No	71.2	No	42%	No	20/01/2015 08:37:58
000104203903E300	1 Downstairs Thermostat	n/a	No	70.3	No	42%	No	20/01/2015 08:34:03
00011ED95A401B5B	5 Outside Back West Door	n/a	No	35.7	No	79%	No	20/01/2015 08:15:04
00015EE21AD9638C	4 Basement - eguage	n/a	No	65.3	No	45%	No	20/01/2015 08:11:19
000104203903E300	1 Downstairs Thermostat	n/a	No	71.1	No	41%	No	20/01/2015 08:04:01
00011ED95A401B5B	5 Outside Back West Door	n/a	No	34.2	No	79%	No	20/01/2015 07:45:04
00015EE21AD9638C	4 Basement - eguage	n/a	No	65.4	No	46%	No	20/01/2015 07:41:17
0001729202B0643B	3 Media Room	n/a	No	76.2	No	35%	No	20/01/2015 07:11:28
00015EE21AD9638C	4 Basement - eguage	n/a	No	65.3	No	45%	No	20/01/2015 07:11:15
0001D994F4E97F51	2 Upstairs Thermostat	n/a	No	70.8	No	40%	No	20/01/2015 07:07:58
000104203903E300	1 Downstairs Thermostat	n/a	No	71.2	No	39%	No	20/01/2015 07:03:59
00011ED95A401B5B	5 Outside Back West Door	n/a	No	35.7	No	78%	No	20/01/2015 06:45:04
00015EE21AD9638C	4 Basement - eguage	n/a	No	65.3	No	46%	No	20/01/2015 06:41:15
0001D994F4E97F51	2 Upstairs Thermostat	n/a	No	70.7	No	40%	No	20/01/2015 06:37:58
000104203903E300	1 Downstairs Thermostat	n/a	No	71.1	No	39%	No	20/01/2015 06:33:57
00011ED95A401B5B	5 Outside Back West Door	n/a	No	36.2	No	77%	No	20/01/2015 06:15:04
0001729202B0643B	3 Media Room	n/a	No	75.6	No	35%	No	20/01/2015 06:11:28
00015EE21AD9638C	4 Basement - eguage	n/a	No	65.3	No	46%	No	20/01/2015 06:11:14
0001D994F4E97F51	2 Upstairs Thermostat	n/a	No	70.8	No	39%	No	20/01/2015 06:07:58
000104203903E300	1 Downstairs Thermostat	n/a	No	70.8	No	39%	No	20/01/2015 06:03:54
00011ED95A401B5B	5 Outside Back West Door	n/a	No	36.2	No	77%	No	20/01/2015 05:45:04
00015EE21AD9638C	4 Basement - eguage	n/a	No	65	No	46%	No	20/01/2015 05:41:12
0001D994F4E97F51	2 Upstairs Thermostat	n/a	No	71.2	No	39%	No	20/01/2015 05:37:58
000104203903E300	1 Downstairs Thermostat	n/a	No	70.8	No	39%	No	20/01/2015 05:33:53
00011ED95A401B5B	5 Outside Back West Door	n/a	No	36.5	No	76%	No	20/01/2015 05:15:04
00015EE21AD9638C	4 Basement - eguage	n/a	No	65	No	46%	No	20/01/2015 05:11:09
0001D994F4E97F51	2 Upstairs Thermostat	n/a	No	70.7	No	40%	No	20/01/2015 05:07:58
000104203903E300	1 Downstairs Thermostat	n/a	No	70.4	No	39%	No	20/01/2015 05:03:53
00011ED95A401B5B	5 Outside Back West Door	n/a	No	36.7	No	76%	No	20/01/2015 04:45:04
0001729202B0643B	3 Media Room	n/a	No	74.5	No	35%	No	20/01/2015 04:41:28
00015EE21AD9638C	4 Basement - eguage	n/a	No	65	No	46%	No	20/01/2015 04:41:07
0001D994F4E97F51	2 Upstairs Thermostat	n/a	No	70.7	No	39%	No	20/01/2015 04:37:58
000104203903E300	1 Downstairs Thermostat	n/a	No	70.3	No	40%	No	20/01/2015 04:33:51
00011ED95A401B5B	5 Outside Back West Door	n/a	No	37	No	76%	No	20/01/2015 04:15:04
00015EE21AD9638C	4 Basement - eguage	n/a	No	65	No	46%	No	20/01/2015 04:11:05
0001D994F4E97F51	2 Upstairs Thermostat	n/a	No	70.8	No	39%	No	20/01/2015 04:07:58
000104203903E300	1 Downstairs Thermostat	n/a	No	69.9	No	40%	No	20/01/2015 04:03:48
00011ED95A401B5B	5 Outside Back West Door	n/a	No	37	No	75%	No	20/01/2015 03:45:04
00015EE21AD9638C	4 Basement - eguage	n/a	No	65	No	46%	No	20/01/2015 03:41:05
0001D994F4E97F51	2 Upstairs Thermostat	n/a	No	71.1	No	39%	No	20/01/2015 03:37:58
000104203903E300	1 Downstairs Thermostat	n/a	No	69.8	No	40%	No	20/01/2015 03:33:49
00011ED95A401B5B	5 Outside Back West Door	n/a	No	37	No	75%	No	20/01/2015 03:15:04
00015EE21AD9638C	4 Basement - eguage	n/a	No	65	No	46%	No	20/01/2015 03:11:05
0001D994F4E97F51	2 Upstairs Thermostat	n/a	No	71.2	No	40%	No	20/01/2015 03:07:58
000104203903E300	1 Downstairs Thermostat	n/a	No	69.4	No	41%	No	20/01/2015 03:03:48
00011ED95A401B5B	5 Outside Back West Door	n/a	No	37	No	75%	No	20/01/2015 02:45:04
0001729202B0643B	3 Media Room	n/a	No	73	No	37%	No	20/01/2015 02:41:28
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.9	No	46%	No	20/01/2015 02:41:03
0001D994F4E97F51	2 Upstairs Thermostat	n/a	No	71.2	No	41%	No	20/01/2015 02:37:58
000104203903E300	1 Downstairs Thermostat	n/a	No	69.4	No	41%	No	20/01/2015 02:33:46
00011ED95A401B5B	5 Outside Back West Door	n/a	No	37.1	No	74%	No	20/01/2015 02:15:03
0001729202B0643B	3 Media Room	n/a	No	73.1	No	37%	No	20/01/2015 02:11:27
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.9	No	46%	No	20/01/2015 02:11:01
0001D994F4E97F51	2 Upstairs Thermostat	n/a	No	70.7	No	41%	No	20/01/2015 02:07:58
000104203903E300	1 Downstairs Thermostat	n/a	No	69.4	No	41%	No	20/01/2015 02:03:44
00011ED95A401B5B	5 Outside Back West Door	n/a	No	37.1	No	74%	No	20/01/2015 01:45:03
0001729202B0643B	3 Media Room	n/a	No	73.4	No	37%	No	20/01/2015 01:41:28
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.9	No	46%	No	20/01/2015 01:40:59
0001D994F4E97F51	2 Upstairs Thermostat	n/a	No	70.7	No	40%	No	20/01/2015 01:37:58
000104203903E300	1 Downstairs Thermostat	n/a	No	69.8	No	41%	No	20/01/2015 01:33:42
00011ED95A401B5B	5 Outside Back West Door	n/a	No	36.9	No	73%	No	20/01/2015 01:15:03
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.9	No	46%	No	20/01/2015 01:10:57
0001D994F4E97F51	2 Upstairs Thermostat	n/a	No	71.1	No	40%	No	20/01/2015 01:07:58
000104203903E300	1 Downstairs Thermostat	n/a	No	69.9	No	41%	No	20/01/2015 01:03:41
00011ED95A401B5B	5 Outside Back West Door	n/a	No	37	No	73%	No	20/01/2015 00:45:03
0001729202B0643B	3 Media Room	n/a	No	74	No	37%	No	20/01/2015 00:41:28
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.9	No	46%	No	20/01/2015 00:40:55
000104203903E300	1 Downstairs Thermostat	n/a	No	70.3	No	41%	No	20/01/2015 00:33:38
00011ED95A401B5B	5 Outside Back West Door	n/a	No	37	No	72%	No	20/01/2015 00:15:03
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.6	No	46%	No	20/01/2015 00:10:53
000104203903E300	1 Downstairs Thermostat	n/a	No	70.3	No	42%	No	20/01/2015 00:03:36
00011ED95A401B5B	5 Outside Back West Door	n/a	No	37.1	No	71%	No	19/01/2015 23:45:03
00015EE21AD9638C	4 Basement - eguage	n/a	No	64	No	46%	No	19/01/2015 23:40:51
000104203903E300	1 Downstairs Thermostat	n/a	No	67.2	No	44%	No	19/01/2015 23:33:33
00011ED95A401B5B	5 Outside Back West Door	n/a	No	37.6	No	70%	No	19/01/2015 23:15:03
0001729202B0643B	3 Media Room	n/a	No	70.7	No	38%	No	19/01/2015 23:11:27
00015EE21AD9638C	4 Basement - eguage	n/a	No	63.9	No	46%	No	19/01/2015 23:10:49
000104203903E300	1 Downstairs Thermostat	n/a	No	67.3	No	41%	No	19/01/2015 23:03:31
00011ED95A401B5B	5 Outside Back West Door	n/a	No	38.3	No	69%	No	19/01/2015 22:45:03
0001729202B0643B	3 Media Room	n/a	No	70.8	No	38%	No	19/01/2015 22:41:27
00015EE21AD9638C	4 Basement - eguage	n/a	No	64	No	46%	No	19/01/2015 22:40:47
000104203903E300	1 Downstairs Thermostat	n/a	No	67.6	No	41%	No	19/01/2015 22:33:29
00011ED95A401B5B	5 Outside Back West Door	n/a	No	38.4	No	69%	No	19/01/2015 22:15:08
0001729202B0643B	3 Media Room	n/a	No	70.8	No	38%	No	19/01/2015 22:11:32
00015EE21AD9638C	4 Basement - eguage	n/a	No	64	No	46%	No	19/01/2015 22:10:52
000104203903E300	1 Downstairs Thermostat	n/a	No	68	No	41%	No	19/01/2015 22:03:33
00011ED95A401B5B	5 Outside Back West Door	n/a	No	38.9	No	67%	No	19/01/2015 21:45:05
00015EE21AD9638C	4 Basement - eguage	n/a	No	64	No	46%	No	19/01/2015 21:40:49
000104203903E300	1 Downstairs Thermostat	n/a	No	68.1	No	41%	No	19/01/2015 21:33:31
00011ED95A401B5B	5 Outside Back West Door	n/a	No	39.4	No	66%	No	19/01/2015 21:15:06
00015EE21AD9638C	4 Basement - eguage	n/a	No	64	No	46%	No	19/01/2015 21:10:49
000104203903E300	1 Downstairs Thermostat	n/a	No	68.4	No	41%	No	19/01/2015 21:03:29
00011ED95A401B5B	5 Outside Back West Door	n/a	No	40.2	No	64%	No	19/01/2015 20:45:06
00015EE21AD9638C	4 Basement - eguage	n/a	No	64	No	46%	No	19/01/2015 20:40:44
000104203903E300	1 Downstairs Thermostat	n/a	No	68.6	No	41%	No	19/01/2015 20:33:28
00011ED95A401B5B	5 Outside Back West Door	n/a	No	41.1	No	62%	No	19/01/2015 20:15:07
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.1	No	46%	No	19/01/2015 20:10:46
000104203903E300	1 Downstairs Thermostat	n/a	No	69	No	40%	No	19/01/2015 20:03:27
00011ED95A401B5B	5 Outside Back West Door	n/a	No	42.1	No	61%	No	19/01/2015 19:45:06
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.1	No	46%	No	19/01/2015 19:40:39
0001D994F4E97F51	2 Upstairs Thermostat	n/a	No	70.3	No	39%	No	19/01/2015 19:38:02
000104203903E300	1 Downstairs Thermostat	n/a	No	69.3	No	40%	No	19/01/2015 19:33:26
00011ED95A401B5B	5 Outside Back West Door	n/a	No	43.3	No	59%	No	19/01/2015 19:14:59
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.1	No	46%	No	19/01/2015 19:10:35
000104203903E300	1 Downstairs Thermostat	n/a	No	69.5	No	40%	No	19/01/2015 19:03:23
00011ED95A401B5B	5 Outside Back West Door	n/a	No	44.8	No	56%	No	19/01/2015 18:44:59
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.1	No	46%	No	19/01/2015 18:40:35
000104203903E300	1 Downstairs Thermostat	n/a	No	69.8	No	40%	No	19/01/2015 18:33:25
00011ED95A401B5B	5 Outside Back West Door	n/a	No	46.5	No	52%	No	19/01/2015 18:15:03
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.1	No	46%	No	19/01/2015 18:10:33
000104203903E300	1 Downstairs Thermostat	n/a	No	70	No	40%	No	19/01/2015 18:03:22
00011ED95A401B5B	5 Outside Back West Door	n/a	No	49.2	No	47%	No	19/01/2015 17:44:59
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.1	No	46%	No	19/01/2015 17:40:33
0001D994F4E97F51	2 Upstairs Thermostat	n/a	No	71.2	No	39%	No	19/01/2015 17:38:02
000104203903E300	1 Downstairs Thermostat	n/a	No	70.3	No	39%	No	19/01/2015 17:33:16
00011ED95A401B5B	5 Outside Back West Door	n/a	No	53.3	No	44%	No	19/01/2015 17:15:01
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.1	No	46%	No	19/01/2015 17:10:33
000104203903E300	1 Downstairs Thermostat	n/a	No	70.2	No	37%	No	19/01/2015 17:03:21
00011ED95A401B5B	5 Outside Back West Door	n/a	No	56.8	No	41%	No	19/01/2015 16:44:57
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.4	No	46%	No	19/01/2015 16:40:31
000104203903E300	1 Downstairs Thermostat	n/a	No	70.8	No	37%	No	19/01/2015 16:33:15
00011ED95A401B5B	5 Outside Back West Door	n/a	No	58.6	No	39%	No	19/01/2015 16:14:50
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.1	No	46%	No	19/01/2015 16:10:33
000104203903E300	1 Downstairs Thermostat	n/a	No	70.4	No	37%	No	19/01/2015 16:03:08
00011ED95A401B5B	5 Outside Back West Door	n/a	No	59.5	No	39%	No	19/01/2015 15:44:50
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.1	No	46%	No	19/01/2015 15:40:29
000104203903E300	1 Downstairs Thermostat	n/a	No	70.7	No	37%	No	19/01/2015 15:33:09
00011ED95A401B5B	5 Outside Back West Door	n/a	No	59.6	No	38%	No	19/01/2015 15:14:45
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.1	No	46%	No	19/01/2015 15:10:24
000104203903E300	1 Downstairs Thermostat	n/a	No	70.7	No	37%	No	19/01/2015 15:02:51
00011ED95A401B5B	5 Outside Back West Door	n/a	No	59.5	No	38%	No	19/01/2015 14:44:45
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.4	No	46%	No	19/01/2015 14:40:22
000104203903E300	1 Downstairs Thermostat	n/a	No	71.2	No	36%	No	19/01/2015 14:32:49
00011ED95A401B5B	5 Outside Back West Door	n/a	No	59	No	40%	No	19/01/2015 14:14:46
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.5	No	45%	No	19/01/2015 14:10:22
000104203903E300	1 Downstairs Thermostat	n/a	No	72.1	No	37%	No	19/01/2015 14:02:51
00011ED95A401B5B	5 Outside Back West Door	n/a	No	57.8	No	41%	No	19/01/2015 13:44:43
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.6	No	45%	No	19/01/2015 13:40:17
00011ED95A401B5B	5 Outside Back West Door	n/a	No	56.8	No	42%	No	19/01/2015 13:14:40
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.6	No	45%	No	19/01/2015 13:10:17
000104203903E300	1 Downstairs Thermostat	n/a	No	73	No	39%	No	19/01/2015 13:02:38
00011ED95A401B5B	5 Outside Back West Door	n/a	No	55.4	No	45%	No	19/01/2015 12:44:36
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.6	No	45%	No	19/01/2015 12:40:14
000104203903E300	1 Downstairs Thermostat	n/a	No	72.6	No	37%	No	19/01/2015 12:32:34
00011ED95A401B5B	5 Outside Back West Door	n/a	No	54.2	No	46%	No	19/01/2015 12:14:35
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.6	No	45%	No	19/01/2015 12:10:13
000104203903E300	1 Downstairs Thermostat	n/a	No	72.6	No	39%	No	19/01/2015 12:02:20
00011ED95A401B5B	5 Outside Back West Door	n/a	No	51.9	No	49%	No	19/01/2015 11:44:32
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.6	No	45%	No	19/01/2015 11:40:08
000104203903E300	1 Downstairs Thermostat	n/a	No	72.5	No	39%	No	19/01/2015 11:32:17
00011ED95A401B5B	5 Outside Back West Door	n/a	No	49.6	No	54%	No	19/01/2015 11:14:32
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.8	No	45%	No	19/01/2015 11:09:56
000104203903E300	1 Downstairs Thermostat	n/a	No	71.8	No	40%	No	19/01/2015 11:02:14
00011ED95A401B5B	5 Outside Back West Door	n/a	No	47	No	58%	No	19/01/2015 10:44:30
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.9	No	45%	No	19/01/2015 10:39:54
000104203903E300	1 Downstairs Thermostat	n/a	No	71.6	No	40%	No	19/01/2015 10:32:11
00011ED95A401B5B	5 Outside Back West Door	n/a	No	43.8	No	62%	No	19/01/2015 10:14:28
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.9	No	45%	No	19/01/2015 10:09:48
000104203903E300	1 Downstairs Thermostat	n/a	No	71.6	No	40%	No	19/01/2015 10:02:11
00011ED95A401B5B	5 Outside Back West Door	n/a	No	40.3	No	67%	No	19/01/2015 09:44:28
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.9	No	45%	No	19/01/2015 09:39:48
000104203903E300	1 Downstairs Thermostat	n/a	No	71.1	No	39%	No	19/01/2015 09:32:12
00011ED95A401B5B	5 Outside Back West Door	n/a	No	35.7	No	75%	No	19/01/2015 09:14:27
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.9	No	45%	No	19/01/2015 09:09:49
000104203903E300	1 Downstairs Thermostat	n/a	No	70.3	No	39%	No	19/01/2015 09:02:09
00011ED95A401B5B	5 Outside Back West Door	n/a	No	32	No	78%	No	19/01/2015 08:44:25
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.9	No	45%	No	19/01/2015 08:39:48
000104203903E300	1 Downstairs Thermostat	n/a	No	69.8	No	39%	No	19/01/2015 08:32:07
00011ED95A401B5B	5 Outside Back West Door	n/a	No	29.9	No	79%	No	19/01/2015 08:14:25
00015EE21AD9638C	4 Basement - eguage	n/a	No	65	No	45%	No	19/01/2015 08:09:43
000104203903E300	1 Downstairs Thermostat	n/a	No	69.9	No	39%	No	19/01/2015 08:02:04
00011ED95A401B5B	5 Outside Back West Door	n/a	No	28.9	No	81%	No	19/01/2015 07:44:18
00015EE21AD9638C	4 Basement - eguage	n/a	No	65	No	45%	No	19/01/2015 07:39:39
000104203903E300	1 Downstairs Thermostat	n/a	No	70	No	39%	No	19/01/2015 07:32:07
00011ED95A401B5B	5 Outside Back West Door	n/a	No	28.9	No	80%	No	19/01/2015 07:14:14
00015EE21AD9638C	4 Basement - eguage	n/a	No	65	No	45%	No	19/01/2015 07:09:39
0001D994F4E97F51	2 Upstairs Thermostat	n/a	No	71.8	No	39%	No	19/01/2015 07:08:01
000104203903E300	1 Downstairs Thermostat	n/a	No	70	No	39%	No	19/01/2015 07:02:07
00011ED95A401B5B	5 Outside Back West Door	n/a	No	29	No	79%	No	19/01/2015 06:44:15
00015EE21AD9638C	4 Basement - eguage	n/a	No	65	No	45%	No	19/01/2015 06:39:37
0001D994F4E97F51	2 Upstairs Thermostat	n/a	No	71.7	No	39%	No	19/01/2015 06:38:01
000104203903E300	1 Downstairs Thermostat	n/a	No	69.9	No	39%	No	19/01/2015 06:32:00
00011ED95A401B5B	5 Outside Back West Door	n/a	No	29.7	No	79%	No	19/01/2015 06:14:14
00015EE21AD9638C	4 Basement - eguage	n/a	No	65	No	46%	No	19/01/2015 06:09:35
0001D994F4E97F51	2 Upstairs Thermostat	n/a	No	71.6	No	40%	No	19/01/2015 06:08:07
000104203903E300	1 Downstairs Thermostat	n/a	No	69.8	No	40%	No	19/01/2015 06:01:59
00011ED95A401B5B	5 Outside Back West Door	n/a	No	29.8	No	79%	No	19/01/2015 05:44:11
